"","vaccine","manufacturer","name.age","brandname_tradename","date","year","cost","packaging","cost_type","age"
"5390","Zoster Vaccine Live","Merck","zostavax.adult","zostavax",2010-12-03,2010,161.5,"1 pack-single dose 0.65mL vials","private","adult"
"5391","Tetanus & Diphtheria
Toxoids [3]","Sanofi Pasteur","decavac.adult","decavac",2010-12-03,2010,19.49,"10 pack – 1 dose syringes","private","adult"
"5392","Meningococcal Conjugate (Groups A, C, Y and W-135) [5]","Sanofi Pasteur","menactra.adult","menactra",2010-12-03,2010,103.41,"5 pack – 1 dose vials","private","adult"
"5393","Hepatitis A Adult [5]","GlaxoSmithKline","havrix.adult","havrix",2010-12-03,2010,21.59,"10 pack – 1 dose vials","cdc","adult"
"5394","Hepatitis A Adult [5]","GlaxoSmithKline","havrix.adult","havrix",2010-12-03,2010,21.59,"5 pack – 1 dose","cdc","adult"
"5395","Hepatitis A-Hepatitis B Adult [3]","GlaxoSmithKline","twinrix.adult","twinrix",2010-12-03,2010,43.5,"10 pack – 1 dose vials","cdc","adult"
"5396","Hepatitis A-Hepatitis B Adult [3]","GlaxoSmithKline","twinrix.adult","twinrix",2010-12-03,2010,43.5,"5 pack – 1 dose","cdc","adult"
"5397","Hepatitis B-Adult [5]","GlaxoSmithKline","engerixb.adult","engerixb",2010-12-03,2010,28,"10 pack – 1 dose vials","cdc","adult"
"5398","Hepatitis B-Adult [5]","GlaxoSmithKline","engerixb.adult","engerixb",2010-12-03,2010,28,"5 pack – 1 dose","cdc","adult"
"5399","HPV -Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant Adult [5]","Merck","gardasil.adult","gardasil",2010-12-03,2010,89.168,"10 pack – 1 dose vials","cdc","adult"
"5400","HPV – Bivalent Human Papillomavirus Types 16 and 18 [5]","GlaxoSmithKline","cervarix.adult","cervarix",2010-12-03,2010,89.17,"10 pack – 1 dose vials","cdc","adult"
"5401","HPV – Bivalent Human Papillomavirus Types 16 and 18 [5]","GlaxoSmithKline","cervarix.adult","cervarix",2010-12-03,2010,89.17,"5 pack – 1 dose","cdc","adult"
"5402","Measles, Mumps, & Rubella-Adult [1]","Merck","mmrii.adult","mmrii",2010-12-03,2010,33.614,"10 pack – 1 dose vials","cdc","adult"
"5403","Pneumococcal Polysaccharide
(23 Valent)","Merck","pneumovax.adult","pneumovax",2010-12-03,2010,18.734,"1 pack – 5 dose vials","cdc","adult"
"5404","Pneumococcal Polysaccharide
(23 Valent)","Merck","pneumovax.adult","pneumovax",2010-12-03,2010,21.345,"10 pack – single dose 0.5 mL vials","cdc","adult"
"5405","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Sanofi Pasteur","adacel.adult","adacel",2010-12-03,2010,26.25,"10 pack – 1 dose vials","cdc","adult"
"5406","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Sanofi Pasteur","adacel.adult","adacel",2010-12-03,2010,26.25,"5 pack – 1 dose BD Leur-Lock syringes","cdc","adult"
"5407","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","GlaxoSmithKline","boostrix.adult","boostrix",2010-12-03,2010,26.25,"10 pack – 1 dose vial","cdc","adult"
"5408","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","GlaxoSmithKline","boostrix.adult","boostrix",2010-12-03,2010,26.25,"10 pack – 1 dose TL syringes","cdc","adult"
"5409","Varicella-Adult [5]","Merck","varivax.adult","varivax",2010-12-03,2010,55.364,"10 pack – 1 dose vials","cdc","adult"
"5410","Zoster Vaccine Live","Merck","zostavax.adult","zostavax",2010-12-03,2010,105.943,"10 pack – 1 dose vial","cdc","adult"
"5411","Zoster Vaccine Live","Merck","zostavax.adult","zostavax",2010-12-03,2010,116.7,"1 pack-single dose 0.65mL vials","cdc","adult"
"5412","Tetanus & Diphtheria
Toxoids [3]","Sanofi Pasteur","decavac.adult","decavac",2010-12-03,2010,13.82,"10 pack – 1 dose syringes","cdc","adult"
"5413","Meningococcal Conjugate (Groups A, C, Y and W-135) [5]","Sanofi Pasteur","menactra.adult","menactra",2010-12-03,2010,64.79,"5 pack – 1 dose vials","cdc","adult"
"5414","DTaP [1]","Sanofi Pasteur","tripedia.ped","tripedia",2010-12-03,2010,23.06,"10 pack – 1 dose vials","private","ped"
"5415","DTaP [1]","Sanofi Pasteur","daptacel.ped","daptacel",2010-12-03,2010,23.76,"10 pack – 1 dose vials","private","ped"
"5416","DTaP [1]","GlaxoSmithKline","infanrix.ped","infanrix",2010-12-03,2010,20.96,"10 pack – 1 dose vials","private","ped"
"5417","DTaP [1]","GlaxoSmithKline","infanrix.ped","infanrix",2010-12-03,2010,21.44,"5 pack – 1 dose T-L syringes. No Needle","private","ped"
"5418","DTaP-IPV [2]","GlaxoSmithKline","kinrix.ped","kinrix",2010-12-03,2010,48,"10 pack – 1 dose vials","private","ped"
"5419","DTaP-IPV [2]","GlaxoSmithKline","kinrix.ped","kinrix",2010-12-03,2010,48,"10 pack – 1 dose T-L syringes","private","ped"
"5420","DTaP-Hep B-IPV [4]","GlaxoSmithKline","pediarix.ped","pediarix",2010-12-03,2010,70.72,"5 pack – 1 dose T-L syringes. No Needle","private","ped"
"5421","DTaP-IP-HI [4]","Sanofi Pasteur","pentacel.ped","pentacel",2010-12-03,2010,75.33,"5 pack – 1 dose vials","private","ped"
"5422","e-IPV [5]","Sanofi Pasteur","ipol.ped","ipol",2010-12-03,2010,24.71,"10 dose vials","private","ped"
"5423","Hepatitis B-Hib [3]","Merck","comvax.ped","comvax",2010-12-03,2010,43.56,"10 pack – 1 dose vials","private","ped"
"5424","Hepatitis A Pediatric [5]","Merck","vaqta.ped","vaqta",2010-12-03,2010,30.31,"10 pack – 1 dose vials","private","ped"
"5425","Hepatitis A Pediatric [5]","GlaxoSmithKline","havrix.ped","havrix",2010-12-03,2010,28.74,"10 pack – 1 dose vials","private","ped"
"5426","Hepatitis A Pediatric [5]","GlaxoSmithKline","havrix.ped","havrix",2010-12-03,2010,28.74,"10 pack – 1 dose T-L syringes. No Needle","private","ped"
"5427","Hepatitis A-Hepatitis B 18 only [3]","GlaxoSmithKline","twinrix.ped","twinrix",2010-12-03,2010,89.95,"10 pack – 1 dose vials","private","ped"
"5428","Hepatitis A-Hepatitis B 18 only [3]","GlaxoSmithKline","twinrix.ped","twinrix",2010-12-03,2010,89.85,"5 pack – 1 dose","private","ped"
"5429","Hepatitis B[5]
Pediatric/Adolescent","GlaxoSmithKline","engerixb.ped","engerixb",2010-12-03,2010,21.37,"10 pack – 1 dose vials","private","ped"
"5430","Hepatitis B[5]
Pediatric/Adolescent","GlaxoSmithKline","engerixb.ped","engerixb",2010-12-03,2010,21.37,"10 pack – 1 dose T-L syringes, No Needle","private","ped"
"5431","Hepatitis B [5]
Pediatric/Adolescent","Merck","recombivaxhb.ped","recombivaxhb",2010-12-03,2010,23.2,"10 pack – 1 dose vials","private","ped"
"5432","Hib [5]","Merck","pedvaxhib.ped","pedvaxhib",2010-12-03,2010,22.77,"10 pack – 1 dose vials","private","ped"
"5433","Hib [5]","Sanofi Pasteur","acthib.ped","acthib",2010-12-03,2010,23.61,"5 pack – 1 dose vials","private","ped"
"5434","Hib [5]","GlaxoSmithKline","hiberix.ped","hiberix",2010-12-03,2010,22.83,"10 pack – 1 dose vials","private","ped"
"5435","HPV – Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant [5]","Merck","gardasil.ped","gardasil",2010-12-03,2010,130.27,"10 pack – 1 dose vials","private","ped"
"5436","HPV – Bivalent Human Papillomavirus Types
16 and 18 [5]","GlaxoSmithKline","cervarix.ped","cervarix",2010-12-03,2010,128.75,"10 pack – 1 dose vials","private","ped"
"5437","HPV – Bivalent Human Papillomavirus Types
16 and 18 [5]","GlaxoSmithKline","cervarix.ped","cervarix",2010-12-03,2010,128.75,"5 pack – 1 dose syringes","private","ped"
"5438","Measles, Mumps, Rubella and Varicella (MMR-V) [2]","Merck","proquad.ped","proquad",2010-12-03,2010,133.93,"10 pack – 1 dose vials","private","ped"
"5439","Meningococcal Conjugate (Groups A, C, Y and
W-135) [5]","Sanofi Pasteur","menactra.ped","menactra",2010-12-03,2010,103.41,"5 pack – 1 dose vials","private","ped"
"5440","Meningococcal Conjugate (Groups A, C, Y and
W-135) [5]","Novartis","menveo.ped","menveo",2010-12-03,2010,103.41,"5 pack – 1 dose vials","private","ped"
"5441","Measles, Mumps and Rubella (MMR) [1]","Merck","mmrii.ped","mmrii",2010-12-03,2010,50.16,"10 pack – 1 dose vials","private","ped"
"5442","Pneumococcal
13-valent [5] (Pediatric)","Wyeth","prevnar13.ped","prevnar13",2010-12-03,2010,108.75,"10 pack – 1 dose syringes, No Needle","private","ped"
"5443","Pneumococcal Polysaccharide (23 Valent)","Merck","pneumovax.ped","pneumovax",2010-12-03,2010,42.58,"10 pack – 1 dose vials","private","ped"
"5444","Rotavirus, Live, Oral, Pentavalent [5]","Merck","rotateq.ped","rotateq",2010-12-03,2010,69.59,"10 pack – 1 dose 2mL tubes","private","ped"
"5445","Rotavirus, Live, Oral,
Oral [5]","GlaxoSmithKline","rotarix.ped","rotarix",2010-12-03,2010,102.5,"10 pack – 1 dose vials","private","ped"
"5446","Tetanus & Diphtheria Toxoids [3]","Sanofi Pasteur","decavac.ped","decavac",2010-12-03,2010,19.49,"10 pack – 1 dose syringes, No Needle","private","ped"
"5447","Tetanus & Diphtheria Toxoids [3]","Sanofi Pasteur","decavac.ped","decavac",2010-12-03,2010,19.49,"10 pack – 1 dose vials","private","ped"
"5448","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","GlaxoSmithKline","boostrix.ped","boostrix",2010-12-03,2010,37.55,"10 pack – 1 dose vials","private","ped"
"5449","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","GlaxoSmithKline","boostrix.ped","boostrix",2010-12-03,2010,37.55,"10 pack – 1 dose TL syringes, No Needle","private","ped"
"5450","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Sanofi Pasteur","adacel.ped","adacel",2010-12-03,2010,37.43,"10 pack – 1 dose vials","private","ped"
"5451","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Sanofi Pasteur","adacel.ped","adacel",2010-12-03,2010,37.43,"5 pack – 1 dose BD Leur-Lok syringes","private","ped"
"5452","Varicella [5]","Merck","varivax.ped","varivax",2010-12-03,2010,83.77,"10 pack – 1 dose vials","private","ped"
"5453","DTaP [1]","Sanofi Pasteur","tripedia.ped","tripedia",2010-12-03,2010,13.25,"10 pack – 1 dose vials","cdc","ped"
"5454","DTaP [1]","Sanofi Pasteur","daptacel.ped","daptacel",2010-12-03,2010,14.75,"10 pack – 1 dose vials","cdc","ped"
"5455","DTaP [1]","GlaxoSmithKline","infanrix.ped","infanrix",2010-12-03,2010,14.25,"10 pack – 1 dose vials","cdc","ped"
"5456","DTaP [1]","GlaxoSmithKline","infanrix.ped","infanrix",2010-12-03,2010,14.25,"5 pack – 1 dose T-L syringes. No Needle","cdc","ped"
"5457","DTaP-IPV [2]","GlaxoSmithKline","kinrix.ped","kinrix",2010-12-03,2010,32.75,"10 pack – 1 dose vials","cdc","ped"
"5458","DTaP-IPV [2]","GlaxoSmithKline","kinrix.ped","kinrix",2010-12-03,2010,32.75,"10 pack – 1 dose T-L syringes","cdc","ped"
"5459","DTaP-Hep B-IPV [4]","GlaxoSmithKline","pediarix.ped","pediarix",2010-12-03,2010,49.75,"5 pack – 1 dose T-L syringes. No Needle","cdc","ped"
"5460","DTaP-IP-HI [4]","Sanofi Pasteur","pentacel.ped","pentacel",2010-12-03,2010,50.7,"5 pack – 1 dose vials","cdc","ped"
"5461","e-IPV [5]","Sanofi Pasteur","ipol.ped","ipol",2010-12-03,2010,11.74,"10 dose vials","cdc","ped"
"5462","Hepatitis B-Hib [3]","Merck","comvax.ped","comvax",2010-12-03,2010,29.5,"10 pack – 1 dose vials","cdc","ped"
"5463","Hepatitis A Pediatric [5]","Merck","vaqta.ped","vaqta",2010-12-03,2010,13.5,"10 pack – 1 dose vials","cdc","ped"
"5464","Hepatitis A Pediatric [5]","GlaxoSmithKline","havrix.ped","havrix",2010-12-03,2010,13.25,"10 pack – 1 dose vials","cdc","ped"
"5465","Hepatitis A Pediatric [5]","GlaxoSmithKline","havrix.ped","havrix",2010-12-03,2010,13.25,"10 pack – 1 dose T-L syringes. No Needle","cdc","ped"
"5466","Hepatitis A-Hepatitis B 18 only [3]","GlaxoSmithKline","twinrix.ped","twinrix",2010-12-03,2010,44.5,"10 pack – 1 dose vials","cdc","ped"
"5467","Hepatitis A-Hepatitis B 18 only [3]","GlaxoSmithKline","twinrix.ped","twinrix",2010-12-03,2010,44.5,"5 pack – 1 dose","cdc","ped"
"5468","Hepatitis B[5]
Pediatric/Adolescent","GlaxoSmithKline","engerixb.ped","engerixb",2010-12-03,2010,10.25,"10 pack – 1 dose vials","cdc","ped"
"5469","Hepatitis B[5]
Pediatric/Adolescent","GlaxoSmithKline","engerixb.ped","engerixb",2010-12-03,2010,10.25,"10 pack – 1 dose T-L syringes, No Needle","cdc","ped"
"5470","Hepatitis B [5]
Pediatric/Adolescent","Merck","recombivaxhb.ped","recombivaxhb",2010-12-03,2010,10.25,"10 pack – 1 dose vials","cdc","ped"
"5471","Hib [5]","Merck","pedvaxhib.ped","pedvaxhib",2010-12-03,2010,11.511,"10 pack – 1 dose vials","cdc","ped"
"5472","Hib [5]","Sanofi Pasteur","acthib.ped","acthib",2010-12-03,2010,8.83,"5 pack – 1 dose vials","cdc","ped"
"5473","Hib [5]","GlaxoSmithKline","hiberix.ped","hiberix",2010-12-03,2010,8.66,"10 pack – 1 dose vials","cdc","ped"
"5474","HPV – Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant [5]","Merck","gardasil.ped","gardasil",2010-12-03,2010,108.724,"10 pack – 1 dose vials","cdc","ped"
"5475","HPV – Bivalent Human Papillomavirus Types
16 and 18 [5]","GlaxoSmithKline","cervarix.ped","cervarix",2010-12-03,2010,96.08,"10 pack – 1 dose vials","cdc","ped"
"5476","HPV – Bivalent Human Papillomavirus Types
16 and 18 [5]","GlaxoSmithKline","cervarix.ped","cervarix",2010-12-03,2010,96.08,"5 pack – 1 dose syringes","cdc","ped"
"5477","Measles, Mumps, Rubella and Varicella (MMR-V) [2]","Merck","proquad.ped","proquad",2010-12-03,2010,85.718,"10 pack – 1 dose vials","cdc","ped"
"5478","Meningococcal Conjugate (Groups A, C, Y and
W-135) [5]","Sanofi Pasteur","menactra.ped","menactra",2010-12-03,2010,79.75,"5 pack – 1 dose vials","cdc","ped"
"5479","Meningococcal Conjugate (Groups A, C, Y and
W-135) [5]","Novartis","menveo.ped","menveo",2010-12-03,2010,79.75,"5 pack – 1 dose vials","cdc","ped"
"5480","Measles, Mumps and Rubella (MMR) [1]","Merck","mmrii.ped","mmrii",2010-12-03,2010,18.637,"10 pack – 1 dose vials","cdc","ped"
"5481","Pneumococcal
13-valent [5] (Pediatric)","Wyeth","prevnar13.ped","prevnar13",2010-12-03,2010,91.75,"10 pack – 1 dose syringes, No Needle","cdc","ped"
"5482","Pneumococcal Polysaccharide (23 Valent)","Merck","pneumovax.ped","pneumovax",2010-12-03,2010,30.034,"10 pack – 1 dose vials","cdc","ped"
"5483","Rotavirus, Live, Oral, Pentavalent [5]","Merck","rotateq.ped","rotateq",2010-12-03,2010,59.176,"10 pack – 1 dose 2mL tubes","cdc","ped"
"5484","Rotavirus, Live, Oral,
Oral [5]","GlaxoSmithKline","rotarix.ped","rotarix",2010-12-03,2010,83.75,"10 pack – 1 dose vials","cdc","ped"
"5485","Tetanus & Diphtheria Toxoids [3]","Sanofi Pasteur","decavac.ped","decavac",2010-12-03,2010,16.5,"10 pack – 1 dose syringes, No Needle","cdc","ped"
"5486","Tetanus & Diphtheria Toxoids [3]","Sanofi Pasteur","decavac.ped","decavac",2010-12-03,2010,16.5,"10 pack – 1 dose vials","cdc","ped"
"5487","Tetanus & Diphtheria Toxoids [3]","MassBiologics","td.rename.ped","td.rename",2010-12-03,2010,15,"10 pack – 1 dose vials","cdc","ped"
"5488","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","GlaxoSmithKline","boostrix.ped","boostrix",2010-12-03,2010,28.54,"10 pack – 1 dose vials","cdc","ped"
"5489","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","GlaxoSmithKline","boostrix.ped","boostrix",2010-12-03,2010,28.54,"10 pack – 1 dose TL syringes, No Needle","cdc","ped"
"5490","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Sanofi Pasteur","adacel.ped","adacel",2010-12-03,2010,28.54,"10 pack – 1 dose vials","cdc","ped"
"5491","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Sanofi Pasteur","adacel.ped","adacel",2010-12-03,2010,28.54,"5 pack – 1 dose BD Leur-Lok syringes","cdc","ped"
"5492","Varicella [5]","Merck","varivax.ped","varivax",2010-12-03,2010,67.081,"10 pack – 1 dose vials","cdc","ped"
"5493","Hepatitis A Adult [5]","GlaxoSmithKline","havrix.adult","havrix",2010-12-16,2010,63.1,"10 pack – 1 dose vials","private","adult"
"5494","Hepatitis A Adult [5]","GlaxoSmithKline","havrix.adult","havrix",2010-12-16,2010,63.1,"5 pack – 1 dose","private","adult"
"5495","Hepatitis A-Hepatitis B Adult [3]","GlaxoSmithKline","twinrix.adult","twinrix",2010-12-16,2010,89.85,"10 pack – 1 dose vials","private","adult"
"5496","Hepatitis A-Hepatitis B Adult [3]","GlaxoSmithKline","twinrix.adult","twinrix",2010-12-16,2010,89.85,"5 pack – 1 dose","private","adult"
"5497","Hepatitis B-Adult [5]","GlaxoSmithKline","engerixb.adult","engerixb",2010-12-16,2010,52.5,"10 pack – 1 dose vials","private","adult"
"5498","Hepatitis B-Adult [5]","GlaxoSmithKline","engerixb.adult","engerixb",2010-12-16,2010,52.5,"5 pack – 1 dose","private","adult"
"5499","HPV -Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant Adult [5]","Merck","gardasil.adult","gardasil",2010-12-16,2010,130.27,"10 pack – 1 dose vials","private","adult"
"5500","HPV – Bivalent Human Papillomavirus Types 16 and 18 [5]","GlaxoSmithKline","cervarix.adult","cervarix",2010-12-16,2010,128.75,"10 pack – 1 dose vials","private","adult"
"5501","HPV – Bivalent Human Papillomavirus Types 16 and 18 [5]","GlaxoSmithKline","cervarix.adult","cervarix",2010-12-16,2010,128.75,"5 pack – 1 dose","private","adult"
"5502","Measles, Mumps, & Rubella-Adult [1]","Merck","mmrii.adult","mmrii",2010-12-16,2010,50.16,"10 pack – 1 dose vials","private","adult"
"5503","Pneumococcal Polysaccharide
(23 Valent)","Merck","pneumovax.adult","pneumovax",2010-12-16,2010,37.936,"1 pack – 5 dose vials","private","adult"
"5504","Pneumococcal Polysaccharide
(23 Valent)","Merck","pneumovax.adult","pneumovax",2010-12-16,2010,42.581,"10 pack – single dose 0.5 mL vials","private","adult"
"5505","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Sanofi Pasteur","adacel.adult","adacel",2010-12-16,2010,37.43,"10 pack – 1 dose vials","private","adult"
"5506","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Sanofi Pasteur","adacel.adult","adacel",2010-12-16,2010,37.43,"5 pack – 1 dose BD Leur-Lock syringes","private","adult"
"5507","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","GlaxoSmithKline","boostrix.adult","boostrix",2010-12-16,2010,37.55,"10 pack – 1 dose vial","private","adult"
"5508","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","GlaxoSmithKline","boostrix.adult","boostrix",2010-12-16,2010,37.55,"10 pack – 1 dose TL syringes","private","adult"
"5509","Varicella-Adult [5]","Merck","varivax.adult","varivax",2010-12-16,2010,83.77,"10 pack – 1 dose vials","private","adult"
"5510","Zoster Vaccine Live","Merck","zostavax.adult","zostavax",2010-12-16,2010,153.93,"10 pack – 1 dose vial","private","adult"
"5511","Zoster Vaccine Live","Merck","zostavax.adult","zostavax",2010-12-16,2010,161.5,"1 pack-single dose 0.65mL vials","private","adult"
"5512","Tetanus & Diphtheria
Toxoids [3]","Sanofi Pasteur","decavac.adult","decavac",2010-12-16,2010,19.49,"10 pack – 1 dose syringes","private","adult"
"5513","Meningococcal Conjugate (Groups A, C, Y and W-135) [5]","Sanofi Pasteur","menactra.adult","menactra",2010-12-16,2010,103.41,"5 pack – 1 dose vials","private","adult"
"5514","Hepatitis A Adult [5]","GlaxoSmithKline","havrix.adult","havrix",2010-12-16,2010,21.59,"10 pack – 1 dose vials","cdc","adult"
"5515","Hepatitis A Adult [5]","GlaxoSmithKline","havrix.adult","havrix",2010-12-16,2010,21.59,"5 pack – 1 dose","cdc","adult"
"5516","Hepatitis A-Hepatitis B Adult [3]","GlaxoSmithKline","twinrix.adult","twinrix",2010-12-16,2010,43.5,"10 pack – 1 dose vials","cdc","adult"
"5517","Hepatitis A-Hepatitis B Adult [3]","GlaxoSmithKline","twinrix.adult","twinrix",2010-12-16,2010,43.5,"5 pack – 1 dose","cdc","adult"
"5518","Hepatitis B-Adult [5]","GlaxoSmithKline","engerixb.adult","engerixb",2010-12-16,2010,28,"10 pack – 1 dose vials","cdc","adult"
"5519","Hepatitis B-Adult [5]","GlaxoSmithKline","engerixb.adult","engerixb",2010-12-16,2010,28,"5 pack – 1 dose","cdc","adult"
"5520","HPV -Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant Adult [5]","Merck","gardasil.adult","gardasil",2010-12-16,2010,89.168,"10 pack – 1 dose vials","cdc","adult"
"5521","HPV – Bivalent Human Papillomavirus Types 16 and 18 [5]","GlaxoSmithKline","cervarix.adult","cervarix",2010-12-16,2010,89.17,"10 pack – 1 dose vials","cdc","adult"
"5522","HPV – Bivalent Human Papillomavirus Types 16 and 18 [5]","GlaxoSmithKline","cervarix.adult","cervarix",2010-12-16,2010,89.17,"5 pack – 1 dose","cdc","adult"
"5523","Measles, Mumps, & Rubella-Adult [1]","Merck","mmrii.adult","mmrii",2010-12-16,2010,33.614,"10 pack – 1 dose vials","cdc","adult"
"5524","Pneumococcal Polysaccharide
(23 Valent)","Merck","pneumovax.adult","pneumovax",2010-12-16,2010,18.734,"1 pack – 5 dose vials","cdc","adult"
"5525","Pneumococcal Polysaccharide
(23 Valent)","Merck","pneumovax.adult","pneumovax",2010-12-16,2010,21.345,"10 pack – single dose 0.5 mL vials","cdc","adult"
"5526","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Sanofi Pasteur","adacel.adult","adacel",2010-12-16,2010,26.25,"10 pack – 1 dose vials","cdc","adult"
"5527","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Sanofi Pasteur","adacel.adult","adacel",2010-12-16,2010,26.25,"5 pack – 1 dose BD Leur-Lock syringes","cdc","adult"
"5528","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","GlaxoSmithKline","boostrix.adult","boostrix",2010-12-16,2010,26.25,"10 pack – 1 dose vial","cdc","adult"
"5529","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","GlaxoSmithKline","boostrix.adult","boostrix",2010-12-16,2010,26.25,"10 pack – 1 dose TL syringes","cdc","adult"
"5530","Varicella-Adult [5]","Merck","varivax.adult","varivax",2010-12-16,2010,55.364,"10 pack – 1 dose vials","cdc","adult"
"5531","Zoster Vaccine Live","Merck","zostavax.adult","zostavax",2010-12-16,2010,105.943,"10 pack – 1 dose vial","cdc","adult"
"5532","Zoster Vaccine Live","Merck","zostavax.adult","zostavax",2010-12-16,2010,116.7,"1 pack-single dose 0.65mL vials","cdc","adult"
"5533","Tetanus & Diphtheria
Toxoids [3]","Sanofi Pasteur","decavac.adult","decavac",2010-12-16,2010,13.82,"10 pack – 1 dose syringes","cdc","adult"
"5534","Meningococcal Conjugate (Groups A, C, Y and W-135) [5]","Sanofi Pasteur","menactra.adult","menactra",2010-12-16,2010,64.79,"5 pack – 1 dose vials","cdc","adult"
"5535","DTaP [1]","Sanofi Pasteur","tripedia.ped","tripedia",2010-12-16,2010,23.06,"10 pack – 1 dose vials","private","ped"
"5536","DTaP [1]","Sanofi Pasteur","daptacel.ped","daptacel",2010-12-16,2010,23.76,"10 pack – 1 dose vials","private","ped"
"5537","DTaP [1]","GlaxoSmithKline","infanrix.ped","infanrix",2010-12-16,2010,20.96,"10 pack – 1 dose vials","private","ped"
"5538","DTaP [1]","GlaxoSmithKline","infanrix.ped","infanrix",2010-12-16,2010,21.44,"5 pack – 1 dose T-L syringes. No Needle","private","ped"
"5539","DTaP-IPV [2]","GlaxoSmithKline","kinrix.ped","kinrix",2010-12-16,2010,48,"10 pack – 1 dose vials","private","ped"
"5540","DTaP-IPV [2]","GlaxoSmithKline","kinrix.ped","kinrix",2010-12-16,2010,48,"10 pack – 1 dose T-L syringes","private","ped"
"5541","DTaP-Hep B-IPV [4]","GlaxoSmithKline","pediarix.ped","pediarix",2010-12-16,2010,70.72,"10 pack – 1 dose T-L syringes. No Needle","private","ped"
"5542","DTaP-IP-HI [4]","Sanofi Pasteur","pentacel.ped","pentacel",2010-12-16,2010,75.33,"5 pack – 1 dose vials","private","ped"
"5543","e-IPV [5]","Sanofi Pasteur","ipol.ped","ipol",2010-12-16,2010,24.71,"10 dose vials","private","ped"
"5544","Hepatitis B-Hib [3]","Merck","comvax.ped","comvax",2010-12-16,2010,43.56,"10 pack – 1 dose vials","private","ped"
"5545","Hepatitis A Pediatric [5]","Merck","vaqta.ped","vaqta",2010-12-16,2010,30.31,"10 pack – 1 dose vials","private","ped"
"5546","Hepatitis A Pediatric [5]","GlaxoSmithKline","havrix.ped","havrix",2010-12-16,2010,28.74,"10 pack – 1 dose vials","private","ped"
"5547","Hepatitis A Pediatric [5]","GlaxoSmithKline","havrix.ped","havrix",2010-12-16,2010,28.74,"10 pack – 1 dose T-L syringes. No Needle","private","ped"
"5548","Hepatitis A-Hepatitis B 18 only [3]","GlaxoSmithKline","twinrix.ped","twinrix",2010-12-16,2010,89.95,"10 pack – 1 dose vials","private","ped"
"5549","Hepatitis A-Hepatitis B 18 only [3]","GlaxoSmithKline","twinrix.ped","twinrix",2010-12-16,2010,89.85,"5 pack – 1 dose","private","ped"
"5550","Hepatitis B[5]
Pediatric/Adolescent","GlaxoSmithKline","engerixb.ped","engerixb",2010-12-16,2010,21.37,"10 pack – 1 dose vials","private","ped"
"5551","Hepatitis B[5]
Pediatric/Adolescent","GlaxoSmithKline","engerixb.ped","engerixb",2010-12-16,2010,21.37,"10 pack – 1 dose T-L syringes, No Needle","private","ped"
"5552","Hepatitis B [5]
Pediatric/Adolescent","Merck","recombivaxhb.ped","recombivaxhb",2010-12-16,2010,23.2,"10 pack – 1 dose vials","private","ped"
"5553","Hib [5]","Merck","pedvaxhib.ped","pedvaxhib",2010-12-16,2010,22.77,"10 pack – 1 dose vials","private","ped"
"5554","Hib [5]","Sanofi Pasteur","acthib.ped","acthib",2010-12-16,2010,23.61,"5 pack – 1 dose vials","private","ped"
"5555","Hib [5]","GlaxoSmithKline","hiberix.ped","hiberix",2010-12-16,2010,22.83,"10 pack – 1 dose vials","private","ped"
"5556","HPV – Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant [5]","Merck","gardasil.ped","gardasil",2010-12-16,2010,130.27,"10 pack – 1 dose vials","private","ped"
