"","vaccine","brandname_tradename","packaging","cdc_cost_dose","private_sector_cost_dose","contract_end_date","manufacturer","date","year","ndc","contract_number"
"740","Hepatitis A Adult [5]","Havrix®","5 pack – 1 dose T-L syringes, No Needle","$20.82","$63.10","6/30/2012","GlaxoSmithKline",2011-07-18,2011,"58160-0826-52","200-2011-39588"
"741","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose vials","$43.48","$89.85","6/30/2012","GlaxoSmithKline",2011-07-18,2011,"58160-0815-11","200-2011-39588"
"742","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose T-L syringes, No Needle","$43.48","$89.85","6/30/2012","GlaxoSmithKline",2011-07-18,2011,"58160-0815-52","200-2011-39588"
"743","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose vials","$27.33","$52.50","6/30/2012","GlaxoSmithKline",2011-07-18,2011,"58160-0821-11","200-2011-39588"
"744","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose T-L syringes, No Needle","$27.33","$52.50","6/30/2012","GlaxoSmithKline",2011-07-18,2011,"58160-0821-52","200-2011-39588"
"745","Hepatitis B-Adult [5]","RecombivaxHB","10 pack – 1 dose vials","$24.042","","6/30/2012","Merck",2011-07-18,2011,"00006-4995-41","2200-2011-39589"
"746","Hepatitis B-Adult [5]","RecombivaxHB","1 pack – single dose vial","$24.042","","6/30/2012","Merck",2011-07-18,2011,"00006-4995-00","2200-2011-39589"
"747","HPV -Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant Adult [5]","Gardasil®","10 pack – 1 dose vials","$93.383","$130.27","6/30/2012","Merck",2011-07-18,2011,"00006-4045-41","200-2011-39589"
"748","HPV-Human Papillomavirus Bivalent Types 16 and 18 [5]","Cervarix®","5 pack – 1 dose T-L syringe, No Needle","$85.64","$128.75","6/30/2012","GlaxoSmithKline",2011-07-18,2011,"58160-0830-46","200-2011-39588"
"749","Measles, Mumps, & Rubella-Adult [1]","MMRII®","10 pack – 1 dose vials","$35.772","$50.16","6/30/2012","Merck",2011-07-18,2011,"00006-4681-00","200-2011-39589"
"750","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","1 pack – 5 dose vials","$19.322","$43.626","6/30/2012","Merck",2011-07-18,2011,"00006-4739-00","200-2011-39589"
"751","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","10 pack – single dose 0.5 mL vials","$20.569","$48.968","6/30/2012","Merck",2011-07-18,2011,"00006-4943-00","200-2011-39589"
"752","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose vial","$26.53","$37.55","6/30/2012","GlaxoSmithKline",2011-07-18,2011,"58160-0842-11","200-2011-39588"
"753","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose TL syringes","$26.53","$37.55","6/30/2012","GlaxoSmithKline",2011-07-18,2011,"58160-0842-51","200-2011-39588"
"754","Varicella-Adult [5]","Varivax®","10 pack – 1 dose vials","$58.575","$83.77","6/30/2012","Merck",2011-07-18,2011,"00006-4827-00","200-2011-39589"
"755","Zoster Vaccine Live","Zostavax®","10 pack – 1 dose vial","$113.284","$153.93","6/30/2012","Merck",2011-07-18,2011,"00006-4963-41","200-2011-39589"
"756","Zoster Vaccine Live","Zostavax®","1 pack-single dose 0.65mL vials","$118.73","$161.50","6/30/2012","Merck",2011-07-18,2011,"00006-4963-00","200-2011-39589"
"757","Tetanus and Diphtheria Toxoids [3]","","10 pack – 1 dose vial","$12.00","","6/30/2012","Merck",2011-07-18,2011,"00006-4133-41","200-2011-39589"
"758","Meningococcal Conjugate [5]","Menveo®","5 pack – 1 dose vial","$65.52","$106.49","6/30/2012","Novartis",2011-07-18,2011,"46028-0208-01","200-2011-39590"
"759","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose vials","$20.82","$63.10","6/30/2012","GlaxoSmithKline",2011-08-29,2011,"58160-0826-11","200-2011-39588"
"760","Hepatitis A Adult [5]","Havrix®","5 pack – 1 dose T-L syringes, No Needle","$20.82","$63.10","6/30/2012","GlaxoSmithKline",2011-08-29,2011,"58160-0826-52","200-2011-39588"
"761","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose vials","$43.48","$89.85","6/30/2012","GlaxoSmithKline",2011-08-29,2011,"58160-0815-11","200-2011-39588"
"762","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose T-L syringes, No Needle","$43.48","$89.85","6/30/2012","GlaxoSmithKline",2011-08-29,2011,"58160-0815-52","200-2011-39588"
"763","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose vials","$27.33","$52.50","6/30/2012","GlaxoSmithKline",2011-08-29,2011,"58160-0821-11","200-2011-39588"
"764","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose T-L syringes, No Needle","$27.33","$52.50","6/30/2012","GlaxoSmithKline",2011-08-29,2011,"58160-0821-52","200-2011-39588"
"765","Hepatitis B-Adult [5]","RecombivaxHB","10 pack – 1 dose vials","$24.042","","6/30/2012","Merck",2011-08-29,2011,"00006-4995-41","2200-2011-39589"
"766","Hepatitis B-Adult [5]","RecombivaxHB","1 pack – single dose vial","$24.042","","6/30/2012","Merck",2011-08-29,2011,"00006-4995-00","2200-2011-39589"
"767","HPV -Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant Adult [5]","Gardasil®","10 pack – 1 dose vials","$93.383","$130.27","6/30/2012","Merck",2011-08-29,2011,"00006-4045-41","200-2011-39589"
"768","HPV-Human Papillomavirus Bivalent Types 16 and 18 [5]","Cervarix®","5 pack – 1 dose T-L syringe, No Needle","$85.64","$128.75","6/30/2012","GlaxoSmithKline",2011-08-29,2011,"58160-0830-46","200-2011-39588"
"769","Measles, Mumps, & Rubella-Adult [1]","MMRII®","10 pack – 1 dose vials","$35.772","$50.16","6/30/2012","Merck",2011-08-29,2011,"00006-4681-00","200-2011-39589"
"770","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","1 pack – 5 dose vials","$19.322","$43.626","6/30/2012","Merck",2011-08-29,2011,"00006-4739-00","200-2011-39589"
"771","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","10 pack – single dose 0.5 mL vials","$20.569","$48.968","6/30/2012","Merck",2011-08-29,2011,"00006-4943-00","200-2011-39589"
"772","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose vial","$26.53","$37.55","6/30/2012","GlaxoSmithKline",2011-08-29,2011,"58160-0842-11","200-2011-39588"
"773","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose TL syringes","$26.53","$37.55","6/30/2012","GlaxoSmithKline",2011-08-29,2011,"58160-0842-51","200-2011-39588"
"774","Varicella-Adult [5]","Varivax®","10 pack – 1 dose vials","$58.575","$83.77","6/30/2012","Merck",2011-08-29,2011,"00006-4827-00","200-2011-39589"
"775","Zoster Vaccine Live","Zostavax®","10 pack – 1 dose vial","$113.284","$153.93","6/30/2012","Merck",2011-08-29,2011,"00006-4963-41","200-2011-39589"
"776","Zoster Vaccine Live","Zostavax®","1 pack-single dose 0.65mL vials","$118.73","$161.50","6/30/2012","Merck",2011-08-29,2011,"00006-4963-00","200-2011-39589"
"777","Tetanus and Diphtheria Toxoids [3]","","10 pack – 1 dose vial","$12.00","","6/30/2012","Merck",2011-08-29,2011,"00006-4133-41","200-2011-39589"
"778","Meningococcal Conjugate [5]","Menveo®","5 pack – 1 dose vial","$65.52","$106.49","6/30/2012","Novartis",2011-08-29,2011,"46028-0208-01","200-2011-39590"
"779","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose vials","$20.82","$63.10","6/30/2012","GlaxoSmithKline",2011-09-29,2011,"58160-0826-11","200-2011-39588"
"780","Hepatitis A Adult [5]","Havrix®","5 pack – 1 dose T-L syringes, No Needle","$20.82","$63.10","6/30/2012","GlaxoSmithKline",2011-09-29,2011,"58160-0826-52","200-2011-39588"
"781","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose vials","$43.48","$89.85","6/30/2012","GlaxoSmithKline",2011-09-29,2011,"58160-0815-11","200-2011-39588"
"782","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose T-L syringes, No Needle","$43.48","$89.85","6/30/2012","GlaxoSmithKline",2011-09-29,2011,"58160-0815-52","200-2011-39588"
"783","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose vials","$27.33","$52.50","6/30/2012","GlaxoSmithKline",2011-09-29,2011,"58160-0821-11","200-2011-39588"
"784","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose T-L syringes, No Needle","$27.33","$52.50","6/30/2012","GlaxoSmithKline",2011-09-29,2011,"58160-0821-52","200-2011-39588"
"785","Hepatitis B-Adult [5]","RecombivaxHB","10 pack – 1 dose vials","$24.042","","6/30/2012","Merck",2011-09-29,2011,"00006-4995-41","2200-2011-39589"
"786","Hepatitis B-Adult [5]","RecombivaxHB","1 pack – single dose vial","$24.042","","6/30/2012","Merck",2011-09-29,2011,"00006-4995-00","2200-2011-39589"
"787","HPV -Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant Adult [5]","Gardasil®","10 pack – 1 dose vials","$93.383","$130.27","6/30/2012","Merck",2011-09-29,2011,"00006-4045-41","200-2011-39589"
"788","HPV-Human Papillomavirus Bivalent Types 16 and 18 [5]","Cervarix®","5 pack – 1 dose T-L syringe, No Needle","$85.64","$128.75","6/30/2012","GlaxoSmithKline",2011-09-29,2011,"58160-0830-46","200-2011-39588"
"789","Measles, Mumps, & Rubella-Adult [1]","MMRII®","10 pack – 1 dose vials","$35.772","$50.16","6/30/2012","Merck",2011-09-29,2011,"00006-4681-00","200-2011-39589"
"790","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","1 pack – 5 dose vials","$19.322","$43.626","6/30/2012","Merck",2011-09-29,2011,"00006-4739-00","200-2011-39589"
"791","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","10 pack – single dose 0.5 mL vials","$20.569","$48.968","6/30/2012","Merck",2011-09-29,2011,"00006-4943-00","200-2011-39589"
"792","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose vial","$26.53","$37.55","6/30/2012","GlaxoSmithKline",2011-09-29,2011,"58160-0842-11","200-2011-39588"
"793","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose TL syringes","$26.53","$37.55","6/30/2012","GlaxoSmithKline",2011-09-29,2011,"58160-0842-51","200-2011-39588"
"794","Varicella-Adult [5]","Varivax®","10 pack – 1 dose vials","$58.575","$83.77","6/30/2012","Merck",2011-09-29,2011,"00006-4827-00","200-2011-39589"
"795","Zoster Vaccine Live","Zostavax®","10 pack – 1 dose vial","$113.284","$153.93","6/30/2012","Merck",2011-09-29,2011,"00006-4963-41","200-2011-39589"
"796","Zoster Vaccine Live","Zostavax®","1 pack-single dose 0.65mL vials","$118.73","$161.50","6/30/2012","Merck",2011-09-29,2011,"00006-4963-00","200-2011-39589"
"797","Tetanus and Diphtheria Toxoids [3]","","10 pack – 1 dose vial","$9.661","","6/30/2012","Merck",2011-09-29,2011,"00006-4133-41","200-2011-39589"
"798","Meningococcal Conjugate [5]","Menveo®","5 pack – 1 dose vial","$65.52","$106.49","6/30/2012","Novartis",2011-09-29,2011,"46028-0208-01","200-2011-39590"
"799","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose vials","$20.82","$63.10","6/30/2012","GlaxoSmithKline",2011-11-02,2011,"58160-0826-11","200-2011-39588"
"800","Hepatitis A Adult [5]","Havrix®","5 pack – 1 dose T-L syringes, No Needle","$20.82","$63.10","6/30/2012","GlaxoSmithKline",2011-11-02,2011,"58160-0826-52","200-2011-39588"
"801","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose vials","$43.48","$89.85","6/30/2012","GlaxoSmithKline",2011-11-02,2011,"58160-0815-11","200-2011-39588"
"802","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose T-L syringes, No Needle","$43.48","$89.85","6/30/2012","GlaxoSmithKline",2011-11-02,2011,"58160-0815-52","200-2011-39588"
"803","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose vials","$27.33","$52.50","6/30/2012","GlaxoSmithKline",2011-11-02,2011,"58160-0821-11","200-2011-39588"
"804","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose T-L syringes, No Needle","$27.33","$52.50","6/30/2012","GlaxoSmithKline",2011-11-02,2011,"58160-0821-52","200-2011-39588"
"805","Hepatitis B-Adult [5]","RecombivaxHB","10 pack – 1 dose vials","$24.042","","6/30/2012","Merck",2011-11-02,2011,"00006-4995-41","2200-2011-39589"
"806","Hepatitis B-Adult [5]","RecombivaxHB","1 pack – single dose vial","$24.042","","6/30/2012","Merck",2011-11-02,2011,"00006-4995-00","2200-2011-39589"
"807","HPV -Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant Adult [5]","Gardasil®","10 pack – 1 dose vials","$93.383","$130.27","6/30/2012","Merck",2011-11-02,2011,"00006-4045-41","200-2011-39589"
"808","HPV-Human Papillomavirus Bivalent Types 16 and 18 [5]","Cervarix®","5 pack – 1 dose T-L syringe, No Needle","$85.64","$128.75","6/30/2012","GlaxoSmithKline",2011-11-02,2011,"58160-0830-46","200-2011-39588"
"809","Measles, Mumps, & Rubella-Adult [1]","MMRII®","10 pack – 1 dose vials","$35.772","$50.16","6/30/2012","Merck",2011-11-02,2011,"00006-4681-00","200-2011-39589"
"810","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","1 pack – 5 dose vials","$19.322","$43.626","6/30/2012","Merck",2011-11-02,2011,"00006-4739-00","200-2011-39589"
"811","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","10 pack – single dose 0.5 mL vials","$20.569","$48.968","6/30/2012","Merck",2011-11-02,2011,"00006-4943-00","200-2011-39589"
"812","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose vial","$26.53","$37.55","6/30/2012","GlaxoSmithKline",2011-11-02,2011,"58160-0842-11","200-2011-39588"
"813","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose TL syringes","$26.53","$37.55","6/30/2012","GlaxoSmithKline",2011-11-02,2011,"58160-0842-51","200-2011-39588"
"814","Varicella-Adult [5]","Varivax®","10 pack – 1 dose vials","$58.575","$83.77","6/30/2012","Merck",2011-11-02,2011,"00006-4827-00","200-2011-39589"
"815","Zoster Vaccine Live","Zostavax®","10 pack – 1 dose vial","$113.284","$153.93","6/30/2012","Merck",2011-11-02,2011,"00006-4963-41","200-2011-39589"
"816","Zoster Vaccine Live","Zostavax®","1 pack-single dose 0.65mL vials","$118.73","$161.50","6/30/2012","Merck",2011-11-02,2011,"00006-4963-00","200-2011-39589"
"817","Tetanus and Diphtheria Toxoids [3]","","10 pack – 1 dose vial","$9.661","","6/30/2012","Merck",2011-11-02,2011,"00006-4133-41","200-2011-39589"
"818","Meningococcal Conjugate [5]","Menveo®","5 pack – 1 dose vial","$65.52","$106.49","6/30/2012","Novartis",2011-11-02,2011,"46028-0208-01","200-2011-39590"
"819","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose vials","$20.82","$63.72","6/30/2012","GlaxoSmithKline",2011-12-15,2011,"58160-0826-11","200-2011-39588"
"820","Hepatitis A Adult [5]","Havrix®","5 pack – 1 dose T-L syringes, No Needle","$20.82","$63.10","6/30/2012","GlaxoSmithKline",2011-12-15,2011,"58160-0826-52","200-2011-39588"
"821","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose vials","$43.48","$92.50","6/30/2012","GlaxoSmithKline",2011-12-15,2011,"58160-0815-11","200-2011-39588"
"822","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose T-L syringes, No Needle","$43.48","$89.85","6/30/2012","GlaxoSmithKline",2011-12-15,2011,"58160-0815-52","200-2011-39588"
"823","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose vials","$27.33","$52.50","6/30/2012","GlaxoSmithKline",2011-12-15,2011,"58160-0821-11","200-2011-39588"
"824","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose T-L syringes, No Needle","$27.33","$52.50","6/30/2012","GlaxoSmithKline",2011-12-15,2011,"58160-0821-52","200-2011-39588"
"825","Hepatitis B-Adult [5]","RecombivaxHB","10 pack – 1 dose vials","$24.042","","6/30/2012","Merck",2011-12-15,2011,"00006-4995-41","2200-2011-39589"
"826","Hepatitis B-Adult [5]","RecombivaxHB","1 pack – single dose vial","$24.042","","6/30/2012","Merck",2011-12-15,2011,"00006-4995-00","2200-2011-39589"
"827","HPV -Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant Adult [5]","Gardasil®","10 pack – 1 dose vials","$93.383","$130.27","6/30/2012","Merck",2011-12-15,2011,"00006-4045-41","200-2011-39589"
"828","HPV-Human Papillomavirus Bivalent Types 16 and 18 [5]","Cervarix®","5 pack – 1 dose T-L syringe, No Needle","$85.64","$128.75","6/30/2012","GlaxoSmithKline",2011-12-15,2011,"58160-0830-46","200-2011-39588"
"829","Measles, Mumps, & Rubella-Adult [1]","MMRII®","10 pack – 1 dose vials","$35.772","$50.16","6/30/2012","Merck",2011-12-15,2011,"00006-4681-00","200-2011-39589"
"830","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","1 pack – 5 dose vials","$19.322","$43.626","6/30/2012","Merck",2011-12-15,2011,"00006-4739-00","200-2011-39589"
"831","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","10 pack – single dose 0.5 mL vials","$20.569","$48.968","6/30/2012","Merck",2011-12-15,2011,"00006-4943-00","200-2011-39589"
"832","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose vial","$26.53","$37.55","6/30/2012","GlaxoSmithKline",2011-12-15,2011,"58160-0842-11","200-2011-39588"
"833","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose TL syringes","$26.53","$37.55","6/30/2012","GlaxoSmithKline",2011-12-15,2011,"58160-0842-51","200-2011-39588"
"834","Varicella-Adult [5]","Varivax®","10 pack – 1 dose vials","$58.575","$83.77","6/30/2012","Merck",2011-12-15,2011,"00006-4827-00","200-2011-39589"
"835","Zoster Vaccine Live","Zostavax®","10 pack – 1 dose vial","$113.284","$153.93","6/30/2012","Merck",2011-12-15,2011,"00006-4963-41","200-2011-39589"
"836","Zoster Vaccine Live","Zostavax®","1 pack-single dose 0.65mL vials","$118.73","$161.50","6/30/2012","Merck",2011-12-15,2011,"00006-4963-00","200-2011-39589"
"837","Tetanus and Diphtheria Toxoids [3]","","10 pack – 1 dose vial","$9.661","","6/30/2012","Merck",2011-12-15,2011,"00006-4133-41","200-2011-39589"
"838","Meningococcal Conjugate [5]","Menveo®","5 pack – 1 dose vial","$65.52","$106.49","6/30/2012","Novartis",2011-12-15,2011,"46028-0208-01","200-2011-39590"
"839","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose vials","$20.82","$63.72","6/30/2012","GlaxoSmithKline",2012-01-06,2012,"58160-0826-11","200-2011-39588"
"840","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose T-L syringes, No Needle","$20.82","$63.10","6/30/2012","GlaxoSmithKline",2012-01-06,2012,"58160-0826-52","200-2011-39588"
"841","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose vials","$43.48","$92.50","6/30/2012","GlaxoSmithKline",2012-01-06,2012,"58160-0815-11","200-2011-39588"
"842","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose T-L syringes. No Needle","$43.48","$89.85","6/30/2012","GlaxoSmithKline",2012-01-06,2012,"58160-0815-52","200-2011-39588"
"843","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose vials","$27.33","$52.50","6/30/2012","GlaxoSmithKline",2012-01-06,2012,"58160-0821-11","200-2011-39588"
"844","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose T-L syringes, No Needle","$27.33","$52.50","6/30/2012","GlaxoSmithKline",2012-01-06,2012,"58160-0821-52","200-2011-39588"
"845","Hepatitis B-Adult [5]","RecombivaxHB®","10 pack – 1 dose vials","$24.042","","6/30/2012","Merck",2012-01-06,2012,"00006-4995-41","200-2011-39589"
"846","Hepatitis B-Adult [5]","RecombivaxHB®","1 pack- single dose vial","$24.042","","6/30/2012","Merck",2012-01-06,2012,"00006-4995-00","200-2011-39589"
"847","HPV -Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant Adult [5]","Gardasil®","10 pack – 1 dose vials","$93.383","$130.27","6/30/2012","Merck",2012-01-06,2012,"00006-4045-41","200-2011-39589"
"848","HPV-Human Papillomavirus Bivalent Types 16 and 18 [5]","Cervarix®","5 pack – 1 dose T-L syringe, No Needle","$85.64","$128.75","6/30/2012","GlaxoSmithKline",2012-01-06,2012,"58160-0830-46","200-2011-39588"
"849","Measles, Mumps, & Rubella-Adult [1]","MMRII®","10 pack – 1 dose vials","$35.772","$50.16","6/30/2012","Merck",2012-01-06,2012,"00006-4681-00","200-2011-39589"
"850","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","1 pack – 5 dose vials","$19.322","$43.626","6/30/2012","Merck",2012-01-06,2012,"00006-4739-00","200-2011-39589"
"851","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","10 pack – single dose 0.5 mL vials","$20.569","$48.968","6/30/2012","Merck",2012-01-06,2012,"00006-4943-00","200-2011-39589"
"852","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose vial","$26.53","$37.55","6/30/2012","GlaxoSmithKline",2012-01-06,2012,"58160-0842-11","200-2011-39588"
"853","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose TL syringes","$26.53","$37.55","6/30/2012","GlaxoSmithKline",2012-01-06,2012,"58160-0842-52","200-2011-39588"
"854","Varicella-Adult [5]","Varivax®","10 pack – 1 dose vials","$58.575","$83.77","6/30/2012","Merck",2012-01-06,2012,"00006-4827-00","200-2011-39589"
"855","Zoster Vaccine Live","Zostavax®","10 pack – 1 dose vial","$113.284","$153.93","6/30/2012","Merck",2012-01-06,2012,"00006-4963-41","200-2011-39589"
"856","Zoster Vaccine Live","Zostavax®","1 pack-single dose 0.65mL vials","$118.73","$161.50","6/30/2012","Merck",2012-01-06,2012,"00006-4963-00","200-2011-39589"
"857","Tetanus and Diphtheria Toxoids","","10 pack – 1 dose vial","$9.661","","6/30/2012","Merck",2012-01-06,2012,"00006-4133-41","200-2011-39589"
"858","Meningococcal Conjugate [5]","Menveo®","5 pack – 1 dose vial","$65.52","$106.49","6/30/2012","Novartis",2012-01-06,2012,"46028-0208-01","200-2011-39590"
"859","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose vials","$20.82","$63.72","6/30/2012","GlaxoSmithKline",2012-01-24,2012,"58160-0826-11","200-2011-39588"
"860","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose T-L syringes, No Needle","$20.82","$63.10","6/30/2012","GlaxoSmithKline",2012-01-24,2012,"58160-0826-52","200-2011-39588"
"861","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose vials","$43.48","$92.50","6/30/2012","GlaxoSmithKline",2012-01-24,2012,"58160-0815-11","200-2011-39588"
"862","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose T-L syringes. No Needle","$43.48","$89.85","6/30/2012","GlaxoSmithKline",2012-01-24,2012,"58160-0815-52","200-2011-39588"
"863","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose vials","$27.33","$52.50","6/30/2012","GlaxoSmithKline",2012-01-24,2012,"58160-0821-11","200-2011-39588"
"864","Hepatitis B-Adult [5]","ENGERIX-B®","10 pack – 1 dose T-L syringes, No Needle","$27.33","$52.50","6/30/2012","GlaxoSmithKline",2012-01-24,2012,"58160-0821-52","200-2011-39588"
"865","Hepatitis B-Adult [5]","RecombivaxHB®","10 pack – 1 dose vials","$24.042","","6/30/2012","Merck",2012-01-24,2012,"00006-4995-41","200-2011-39589"
"866","Hepatitis B-Adult [5]","RecombivaxHB®","1 pack- single dose vial","$24.042","","6/30/2012","Merck",2012-01-24,2012,"00006-4995-00","200-2011-39589"
"867","HPV -Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant Adult [5]","Gardasil®","10 pack – 1 dose vials","$92.46","$130.27","6/30/2012","Merck",2012-01-24,2012,"00006-4045-41","200-2011-39589"
"868","HPV-Human Papillomavirus Bivalent Types 16 and 18 [5]","Cervarix®","10 pack – 1 dose T-L syringe, No Needle","$77.60","$128.75","6/30/2012","GlaxoSmithKline",2012-01-24,2012,"58160-0830-52","200-2011-39588"
"869","Measles, Mumps, & Rubella-Adult [1]","MMRII®","10 pack – 1 dose vials","$35.772","$50.16","6/30/2012","Merck",2012-01-24,2012,"00006-4681-00","200-2011-39589"
"870","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","1 pack – 5 dose vials","$19.322","$57.696","6/30/2012","Merck",2012-01-24,2012,"00006-4739-00","200-2011-39589"
"871","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","10 pack – single dose 0.5 mL vials","$20.569","$61.944","6/30/2012","Merck",2012-01-24,2012,"00006-4943-00","200-2011-39589"
"872","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose vial","$26.53","$37.55","6/30/2012","GlaxoSmithKline",2012-01-24,2012,"58160-0842-11","200-2011-39588"
"873","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose TL syringes","$26.53","$37.55","6/30/2012","GlaxoSmithKline",2012-01-24,2012,"58160-0842-52","200-2011-39588"
"874","Varicella-Adult [5]","Varivax®","10 pack – 1 dose vials","$58.575","$83.77","6/30/2012","Merck",2012-01-24,2012,"00006-4827-00","200-2011-39589"
"875","Zoster Vaccine Live","Zostavax®","10 pack – 1 dose vial","$113.284","$153.93","6/30/2012","Merck",2012-01-24,2012,"00006-4963-41","200-2011-39589"
"876","Zoster Vaccine Live","Zostavax®","1 pack-single dose 0.65mL vials","$118.73","$161.50","6/30/2012","Merck",2012-01-24,2012,"00006-4963-00","200-2011-39589"
"877","Tetanus and Diphtheria Toxoids","","10 pack – 1 dose vial","$9.661","","6/30/2012","Merck",2012-01-24,2012,"00006-4133-41","200-2011-39589"
"878","Meningococcal Conjugate [5]","Menveo®","5 pack – 1 dose vial","$65.52","$106.49","6/30/2012","Novartis",2012-01-24,2012,"46028-0208-01","200-2011-39590"
"879","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose vials","$20.82","$63.72","6/30/2012","GlaxoSmithKline",2012-02-01,2012,"58160-0826-11","200-2011-39588"
"880","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose T-L syringes, No Needle","$20.82","$63.10","6/30/2012","GlaxoSmithKline",2012-02-01,2012,"58160-0826-52","200-2011-39588"
