"","vaccine","brandname_tradename","packaging","cdc_cost_dose","contract_end_date","manufacturer","date","year","private_sector_cost_dose","ndc","contract_number"
"1350","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","ADACEL®","10 pack – 1 dose vials
5 pack – 1 dose BD Leur-Lok syringes","$28.54
$28.54","03/31/2011","Sanofi Pasteur",2010-08-13,2010,"$37.43
$37.43","49281-0400-10
49281-0400-15","200-2010-33940"
"1351","Varicella [5]","Varivax®","10 pack – 1 dose vials","$67.081","03/31/2011","Merck",2010-08-13,2010,"$80.58","00006-4827-00","200-2010-34037"
"1352","DTaP [1]","Tripedia®
DAPTACEL®","10 pack – 1 dose vials
10 pack – 1 dose vials","$13.25
$14.75","03/31/2011","Sanofi Pasteur",2010-09-03,2010,"$23.055
$23.757","49281-0298-10
49281-0298-10","200-2010-33940"
"1353","DTaP [1]","Infanrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes. No Needle","$14.25
$14.25","03/31/2011","GlaxoSmithKline",2010-09-03,2010,"$20.96
$21.44","58160-0810-11
58160-0810-51","200-2010-33940"
"1354","DTaP-IPV [2]","Kinrix®","10 pack – 1 dose vials
5 pack – 1 dose
T-L syringes","$32.75
$32.75","03/31/2011","GlaxoSmithKline",2010-09-03,2010,"$48.00
$48.00","58160-0812-11
58160-0812-46","200-2010-33945"
"1355","DTaP-Hep B-IPV [4]","Pediarix®","5 pack – 1 dose T-L syringes. No Needle","$49.75","03/31/2011","GlaxoSmithKline",2010-09-03,2010,"$70.72","58160-0811-46","200-2010-33945"
"1356","DTaP-IP-HI [4]","Pentacel®","5 pack – 1 dose vials","$50.70","03/31/2011","Sanofi Pasteur",2010-09-03,2010,"$75.33","49281-0510-05","200-2010-33940"
"1357","e-IPV [5]","IPOL®","10 dose vials","$11.74","03/31/2011","Sanofi Pasteur",2010-09-03,2010,"$24.709","49281-0860-10","200-2010-33940"
"1358","Hepatitis B-Hib [3]","COMVAX®","10 pack – 1 dose vials","$29.50","03/31/2011","Merck",2010-09-03,2010,"$43.56","00006-4898-00","200-2010-34037"
"1359","Hepatitis A Pediatric [5]","VAQTA®","10 pack – 1 dose vials","$13.50","03/31/2011","Merck",2010-09-03,2010,"$30.31","00006-4831-41","200-2010-34037"
"1360","Hepatitis A Pediatric [5]","Havrix®","10 pack – 1 dose vials
10 pack – 1 dose T-L syringes. No Needle","$13.25
$13.25","03/31/2011","GlaxoSmithKline",2010-09-03,2010,"$28.74
$28.74","58160-0825-11
58160-0825-52","200-2010-33945"
"1361","Hepatitis A-Hepatitis B 18 only [3]","Twinrix®","10 pack – 1 dose vials
5 pack – 1 dose
T-L syringes, No Needle","$44.50
$44.50","03/31/2011","GlaxoSmithKline",2010-09-03,2010,"$89.95
$89.85","58160-0815-11
58160-0815-46","200-2010-33945"
"1362","Hepatitis B[5]
Pediatric/Adolescent","ENGERIX B®","10 pack – 1 dose vials
10 pack – 1 dose T-L syringes, No Needle","$10.25
$10.25","03/31/2011","GlaxoSmithKline",2010-09-03,2010,"$21.37
$21.37","58160-0820-11
58160-0820-51","200-2010-33945"
"1363","Hepatitis B [5]
Pediatric/Adolescent","RECOMBIVAX HB®","10 pack – 1 dose vials","$10.25","03/31/2011","Merck",2010-09-03,2010,"$23.20","00006-4981-00","200-2010-34037"
"1364","Hib [5]","PedvaxHIB®","10 pack – 1 dose vials","$11.511","03/31/2011","Merck",2010-09-03,2010,"$22.77","00006-4897-00","200-2010-34037"
"1365","Hib [5]","ActHIB®","5 pack – 1 dose vials","$8.83","03/31/2011","Sanofi Pasteur",2010-09-03,2010,"$23.606","49281-0545-05","200-2010-33940"
"1366","Hib [5]","Hiberix®","10 pack – 1 dose vials","$8.66","03/31/2011","GlaxoSmithKline",2010-09-03,2010,"$22.83","58160-0806-05","200-2010-33945"
"1367","HPV – Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant [5]","Gardasil®","10 pack – 1 dose vials","$108.724","03/31/2011","Merck",2010-09-03,2010,"$130.27","00006-4045-41","200-2010-34037"
"1368","HPV – Bivalent Human Papillomavirus Types
16 and 18 [5]","Cervarix®","10 pack – 1 dose vials
5 pack – 1 dose syringes","$96.08
$96.08","03/31/2011","GlaxoSmithKline",2010-09-03,2010,"$128.75
$128.75","58160-0830-11
58160-0830-46","200-2010-33945"
"1369","Measles, Mumps, Rubella and Varicella (MMR-V) [2]","ProQuad®","10 pack – 1 dose vials","$85.718","03/31/2011","Merck",2010-09-03,2010,"$128.90","00006-4999-00","200-2010-34037"
"1370","Meningococcal Conjugate (Groups A, C, Y and
W-135) [5]","Menactra®","5 pack – 1 dose vials","$79.75","03/31/2011","Sanofi Pasteur",2010-09-03,2010,"$103.412","49281-0589-05","200-2010-33940"
"1371","Meningococcal Conjugate (Groups A, C, Y and
W-135) [5]","Menveo®","5 pack – 1 dose vials","$79.75","03/31/2011","Novartis",2010-09-03,2010,"$103.41","46028-0208-01","200-2010-33942"
"1372","Measles, Mumps and Rubella (MMR) [1]","MMRII®","10 pack – 1 dose vials","$18.637","03/31/2011","Merck",2010-09-03,2010,"$48.31","00006-4681-00","200-2010-34037"
"1373","Pneumococcal
13-valent [5] (Pediatric)","Prevnar 13™","10 pack – 1 dose syringes, No Needle","$91.75","03/31/2011","Wyeth",2010-09-03,2010,"$108.75","00005-1971-02","200-2010-33943"
"1374","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","10 pack – 1 dose vials","$30.034","03/31/2011","Merck",2010-09-03,2010,"$42.58","00006-4943-00","200-2010-34037"
"1375","Rotavirus, Live, Oral, Pentavalent [5]","RotaTeq®","10 pack – 1 dose 2mL tubes","$59.176","03/31/2011","Merck",2010-09-03,2010,"$69.59","00006-4047-41","200-2010-34037"
"1376","Rotavirus, Live, Oral,
Oral [5]","Rotarix®","10 pack – 1 dose vials","$83.75","03/31/2011","GlaxoSmithKline",2010-09-03,2010,"$102.50","58160-0805-11","200-2010-33945"
"1377","Tetanus & Diphtheria Toxoids [3]","DECAVAC®","10 pack – 1 dose syringes, No Needle
10 pack – 1 dose vials","$16.50
$16.50","03/31/2011","Sanofi Pasteur",2010-09-03,2010,"$19.49
$19.49","49281-0291-10
49281-0291-83","200-2010-33940"
"1378","Tetanus & Diphtheria Toxoids [3]","MassBiologics","10 pack – 1 dose vials","$15.00","03/31/2011","MassBiologics",2010-09-03,2010,"","14362-0111-03","200-2010-33941"
"1379","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","BOOSTRIX®","10 pack – 1 dose vials
5 pack – 1 dose TL syringes, No Needle","$28.54
$28.54","03/31/2011","GlaxoSmithKline",2010-09-03,2010,"$37.55
$37.55","58160-0842-11
58160-0842-46","200-2010-33945"
"1380","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","ADACEL®","10 pack – 1 dose vials
5 pack – 1 dose BD Leur-Lok syringes","$28.54
$28.54","03/31/2011","Sanofi Pasteur",2010-09-03,2010,"$37.43
$37.43","49281-0400-10
49281-0400-15","200-2010-33940"
"1381","Varicella [5]","Varivax®","10 pack – 1 dose vials","$67.081","03/31/2011","Merck",2010-09-03,2010,"$80.58","00006-4827-00","200-2010-34037"
"1382","DTaP [1]","Tripedia®
DAPTACEL®","10 pack – 1 dose vials
10 pack – 1 dose vials","$13.25
$14.75","03/31/2011","Sanofi Pasteur",2010-09-28,2010,"$23.055
$23.757","49281-0298-10
49281-0298-10","200-2010-33940"
"1383","DTaP [1]","Infanrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes. No Needle","$14.25
$14.25","03/31/2011","GlaxoSmithKline",2010-09-28,2010,"$20.96
$21.44","58160-0810-11
58160-0810-51","200-2010-33940"
"1384","DTaP-IPV [2]","Kinrix®","10 pack – 1 dose vials
5 pack – 1 dose
T-L syringes","$32.75
$32.75","03/31/2011","GlaxoSmithKline",2010-09-28,2010,"$48.00
$48.00","58160-0812-11
58160-0812-46","200-2010-33945"
"1385","DTaP-Hep B-IPV [4]","Pediarix®","5 pack – 1 dose T-L syringes. No Needle","$49.75","03/31/2011","GlaxoSmithKline",2010-09-28,2010,"$70.72","58160-0811-46","200-2010-33945"
"1386","DTaP-IP-HI [4]","Pentacel®","5 pack – 1 dose vials","$50.70","03/31/2011","Sanofi Pasteur",2010-09-28,2010,"$75.33","49281-0510-05","200-2010-33940"
"1387","e-IPV [5]","IPOL®","10 dose vials","$11.74","03/31/2011","Sanofi Pasteur",2010-09-28,2010,"$24.709","49281-0860-10","200-2010-33940"
"1388","Hepatitis B-Hib [3]","COMVAX®","10 pack – 1 dose vials","$29.50","03/31/2011","Merck",2010-09-28,2010,"$43.56","00006-4898-00","200-2010-34037"
"1389","Hepatitis A Pediatric [5]","VAQTA®","10 pack – 1 dose vials","$13.50","03/31/2011","Merck",2010-09-28,2010,"$30.31","00006-4831-41","200-2010-34037"
"1390","Hepatitis A Pediatric [5]","Havrix®","10 pack – 1 dose vials
10 pack – 1 dose T-L syringes. No Needle","$13.25
$13.25","03/31/2011","GlaxoSmithKline",2010-09-28,2010,"$28.74
$28.74","58160-0825-11
58160-0825-52","200-2010-33945"
"1391","Hepatitis A-Hepatitis B 18 only [3]","Twinrix®","10 pack – 1 dose vials
5 pack – 1 dose
T-L syringes, No Needle","$44.50
$44.50","03/31/2011","GlaxoSmithKline",2010-09-28,2010,"$89.95
$89.85","58160-0815-11
58160-0815-46","200-2010-33945"
"1392","Hepatitis B[5]
Pediatric/Adolescent","ENGERIX B®","10 pack – 1 dose vials
10 pack – 1 dose T-L syringes, No Needle","$10.25
$10.25","03/31/2011","GlaxoSmithKline",2010-09-28,2010,"$21.37
$21.37","58160-0820-11
58160-0820-51","200-2010-33945"
"1393","Hepatitis B [5]
Pediatric/Adolescent","RECOMBIVAX HB®","10 pack – 1 dose vials","$10.25","03/31/2011","Merck",2010-09-28,2010,"$23.20","00006-4981-00","200-2010-34037"
"1394","Hib [5]","PedvaxHIB®","10 pack – 1 dose vials","$11.511","03/31/2011","Merck",2010-09-28,2010,"$22.77","00006-4897-00","200-2010-34037"
"1395","Hib [5]","ActHIB®","5 pack – 1 dose vials","$8.83","03/31/2011","Sanofi Pasteur",2010-09-28,2010,"$23.606","49281-0545-05","200-2010-33940"
"1396","Hib [5]","Hiberix®","10 pack – 1 dose vials","$8.66","03/31/2011","GlaxoSmithKline",2010-09-28,2010,"$22.83","58160-0806-05","200-2010-33945"
"1397","HPV – Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant [5]","Gardasil®","10 pack – 1 dose vials","$108.724","03/31/2011","Merck",2010-09-28,2010,"$130.27","00006-4045-41","200-2010-34037"
"1398","HPV – Bivalent Human Papillomavirus Types
16 and 18 [5]","Cervarix®","10 pack – 1 dose vials
5 pack – 1 dose syringes","$96.08
$96.08","03/31/2011","GlaxoSmithKline",2010-09-28,2010,"$128.75
$128.75","58160-0830-11
58160-0830-46","200-2010-33945"
"1399","Measles, Mumps, Rubella and Varicella (MMR-V) [2]","ProQuad®","10 pack – 1 dose vials","$85.718","03/31/2011","Merck",2010-09-28,2010,"$128.90","00006-4999-00","200-2010-34037"
"1400","Meningococcal Conjugate (Groups A, C, Y and
W-135) [5]","Menactra®","5 pack – 1 dose vials","$79.75","03/31/2011","Sanofi Pasteur",2010-09-28,2010,"$103.412","49281-0589-05","200-2010-33940"
"1401","Meningococcal Conjugate (Groups A, C, Y and
W-135) [5]","Menveo®","5 pack – 1 dose vials","$79.75","03/31/2011","Novartis",2010-09-28,2010,"$103.41","46028-0208-01","200-2010-33942"
"1402","Measles, Mumps and Rubella (MMR) [1]","MMRII®","10 pack – 1 dose vials","$18.637","03/31/2011","Merck",2010-09-28,2010,"$48.31","00006-4681-00","200-2010-34037"
"1403","Pneumococcal
13-valent [5] (Pediatric)","Prevnar 13™","10 pack – 1 dose syringes, No Needle","$91.75","03/31/2011","Wyeth",2010-09-28,2010,"$108.75","00005-1971-02","200-2010-33943"
"1404","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","10 pack – 1 dose vials","$30.034","03/31/2011","Merck",2010-09-28,2010,"$42.58","00006-4943-00","200-2010-34037"
"1405","Rotavirus, Live, Oral, Pentavalent [5]","RotaTeq®","10 pack – 1 dose 2mL tubes","$59.176","03/31/2011","Merck",2010-09-28,2010,"$69.59","00006-4047-41","200-2010-34037"
"1406","Rotavirus, Live, Oral,
Oral [5]","Rotarix®","10 pack – 1 dose vials","$83.75","03/31/2011","GlaxoSmithKline",2010-09-28,2010,"$102.50","58160-0805-11","200-2010-33945"
"1407","Tetanus & Diphtheria Toxoids [3]","DECAVAC®","10 pack – 1 dose syringes, No Needle
10 pack – 1 dose vials","$16.50
$16.50","03/31/2011","Sanofi Pasteur",2010-09-28,2010,"$19.49
$19.49","49281-0291-10
49281-0291-83","200-2010-33940"
"1408","Tetanus & Diphtheria Toxoids [3]","MassBiologics","10 pack – 1 dose vials","$15.00","03/31/2011","MassBiologics",2010-09-28,2010,"","14362-0111-03","200-2010-33941"
"1409","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","BOOSTRIX®","10 pack – 1 dose vials10 pack – 1 dose TL syringes, No Needle","$28.54
$28.54","03/31/2011","GlaxoSmithKline",2010-09-28,2010,"$37.55
$37.55","58160-0842-11
58160-0842-51","200-2010-33945"
"1410","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","ADACEL®","10 pack – 1 dose vials
5 pack – 1 dose BD Leur-Lok syringes","$28.54
$28.54","03/31/2011","Sanofi Pasteur",2010-09-28,2010,"$37.43
$37.43","49281-0400-10
49281-0400-15","200-2010-33940"
"1411","Varicella [5]","Varivax®","10 pack – 1 dose vials","$67.081","03/31/2011","Merck",2010-09-28,2010,"$80.58","00006-4827-00","200-2010-34037"
"1412","DTaP [1]","Tripedia®
DAPTACEL®","10 pack – 1 dose vials
10 pack – 1 dose vials","$13.25
$14.75","03/31/2011","Sanofi Pasteur",2010-10-06,2010,"$23.055
$23.757","49281-0298-10
49281-0298-10","200-2010-33940"
"1413","DTaP [1]","Infanrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes. No Needle","$14.25
$14.25","03/31/2011","GlaxoSmithKline",2010-10-06,2010,"$20.96
$21.44","58160-0810-11
58160-0810-51","200-2010-33940"
"1414","DTaP-IPV [2]","Kinrix®","10 pack – 1 dose vials
5 pack – 1 dose
T-L syringes","$32.75
$32.75","03/31/2011","GlaxoSmithKline",2010-10-06,2010,"$48.00
$48.00","58160-0812-11
58160-0812-46","200-2010-33945"
"1415","DTaP-Hep B-IPV [4]","Pediarix®","5 pack – 1 dose T-L syringes. No Needle","$49.75","03/31/2011","GlaxoSmithKline",2010-10-06,2010,"$70.72","58160-0811-46","200-2010-33945"
"1416","DTaP-IP-HI [4]","Pentacel®","5 pack – 1 dose vials","$50.70","03/31/2011","Sanofi Pasteur",2010-10-06,2010,"$75.33","49281-0510-05","200-2010-33940"
"1417","e-IPV [5]","IPOL®","10 dose vials","$11.74","03/31/2011","Sanofi Pasteur",2010-10-06,2010,"$24.709","49281-0860-10","200-2010-33940"
"1418","Hepatitis B-Hib [3]","COMVAX®","10 pack – 1 dose vials","$29.50","03/31/2011","Merck",2010-10-06,2010,"$43.56","00006-4898-00","200-2010-34037"
"1419","Hepatitis A Pediatric [5]","VAQTA®","10 pack – 1 dose vials","$13.50","03/31/2011","Merck",2010-10-06,2010,"$30.31","00006-4831-41","200-2010-34037"
"1420","Hepatitis A Pediatric [5]","Havrix®","10 pack – 1 dose vials
10 pack – 1 dose T-L syringes. No Needle","$13.25
$13.25","03/31/2011","GlaxoSmithKline",2010-10-06,2010,"$28.74
$28.74","58160-0825-11
58160-0825-52","200-2010-33945"
"1421","Hepatitis A-Hepatitis B 18 only [3]","Twinrix®","10 pack – 1 dose vials
5 pack – 1 dose
T-L syringes, No Needle","$44.50
$44.50","03/31/2011","GlaxoSmithKline",2010-10-06,2010,"$89.95
$89.85","58160-0815-11
58160-0815-46","200-2010-33945"
"1422","Hepatitis B[5]
Pediatric/Adolescent","ENGERIX B®","10 pack – 1 dose vials
10 pack – 1 dose T-L syringes, No Needle","$10.25
$10.25","03/31/2011","GlaxoSmithKline",2010-10-06,2010,"$21.37
$21.37","58160-0820-11
58160-0820-51","200-2010-33945"
"1423","Hepatitis B [5]
Pediatric/Adolescent","RECOMBIVAX HB®","10 pack – 1 dose vials","$10.25","03/31/2011","Merck",2010-10-06,2010,"$23.20","00006-4981-00","200-2010-34037"
"1424","Hib [5]","PedvaxHIB®","10 pack – 1 dose vials","$11.511","03/31/2011","Merck",2010-10-06,2010,"$22.77","00006-4897-00","200-2010-34037"
"1425","Hib [5]","ActHIB®","5 pack – 1 dose vials","$8.83","03/31/2011","Sanofi Pasteur",2010-10-06,2010,"$23.606","49281-0545-05","200-2010-33940"
"1426","Hib [5]","Hiberix®","10 pack – 1 dose vials","$8.66","03/31/2011","GlaxoSmithKline",2010-10-06,2010,"$22.83","58160-0806-05","200-2010-33945"
"1427","HPV – Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant [5]","Gardasil®","10 pack – 1 dose vials","$108.724","03/31/2011","Merck",2010-10-06,2010,"$130.27","00006-4045-41","200-2010-34037"
"1428","HPV – Bivalent Human Papillomavirus Types
16 and 18 [5]","Cervarix®","10 pack – 1 dose vials
5 pack – 1 dose syringes","$96.08
$96.08","03/31/2011","GlaxoSmithKline",2010-10-06,2010,"$128.75
$128.75","58160-0830-11
58160-0830-46","200-2010-33945"
"1429","Measles, Mumps, Rubella and Varicella (MMR-V) [2]","ProQuad®","10 pack – 1 dose vials","$85.718","03/31/2011","Merck",2010-10-06,2010,"$133.93","00006-4999-00","200-2010-34037"
"1430","Meningococcal Conjugate (Groups A, C, Y and
W-135) [5]","Menactra®","5 pack – 1 dose vials","$79.75","03/31/2011","Sanofi Pasteur",2010-10-06,2010,"$103.412","49281-0589-05","200-2010-33940"
"1431","Meningococcal Conjugate (Groups A, C, Y and
W-135) [5]","Menveo®","5 pack – 1 dose vials","$79.75","03/31/2011","Novartis",2010-10-06,2010,"$103.41","46028-0208-01","200-2010-33942"
"1432","Measles, Mumps and Rubella (MMR) [1]","MMRII®","10 pack – 1 dose vials","$18.637","03/31/2011","Merck",2010-10-06,2010,"$50.16","00006-4681-00","200-2010-34037"
"1433","Pneumococcal
13-valent [5] (Pediatric)","Prevnar 13™","10 pack – 1 dose syringes, No Needle","$91.75","03/31/2011","Wyeth",2010-10-06,2010,"$108.75","00005-1971-02","200-2010-33943"
"1434","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","10 pack – 1 dose vials","$30.034","03/31/2011","Merck",2010-10-06,2010,"$42.58","00006-4943-00","200-2010-34037"
"1435","Rotavirus, Live, Oral, Pentavalent [5]","RotaTeq®","10 pack – 1 dose 2mL tubes","$59.176","03/31/2011","Merck",2010-10-06,2010,"$69.59","00006-4047-41","200-2010-34037"
"1436","Rotavirus, Live, Oral,
Oral [5]","Rotarix®","10 pack – 1 dose vials","$83.75","03/31/2011","GlaxoSmithKline",2010-10-06,2010,"$102.50","58160-0805-11","200-2010-33945"
"1437","Tetanus & Diphtheria Toxoids [3]","DECAVAC®","10 pack – 1 dose syringes, No Needle
10 pack – 1 dose vials","$16.50
$16.50","03/31/2011","Sanofi Pasteur",2010-10-06,2010,"$19.49
$19.49","49281-0291-10
49281-0291-83","200-2010-33940"
"1438","Tetanus & Diphtheria Toxoids [3]","MassBiologics","10 pack – 1 dose vials","$15.00","03/31/2011","MassBiologics",2010-10-06,2010,"","14362-0111-03","200-2010-33941"
"1439","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","BOOSTRIX®","10 pack – 1 dose vials
10 pack – 1 dose TL syringes, No Needle","$28.54
$28.54","03/31/2011","GlaxoSmithKline",2010-10-06,2010,"$37.55
$37.55","58160-0842-11
58160-0842-51","200-2010-33945"
"1440","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","ADACEL®","10 pack – 1 dose vials
5 pack – 1 dose BD Leur-Lok syringes","$28.54
$28.54","03/31/2011","Sanofi Pasteur",2010-10-06,2010,"$37.43
$37.43","49281-0400-10
49281-0400-15","200-2010-33940"
"1441","Varicella [5]","Varivax®","10 pack – 1 dose vials","$67.081","03/31/2011","Merck",2010-10-06,2010,"$83.77","00006-4827-00","200-2010-34037"
"1442","DTaP [1]","Tripedia®
DAPTACEL®","10 pack – 1 dose vials
10 pack – 1 dose vials","$13.25
$14.75","03/31/2011","Sanofi Pasteur",2010-11-19,2010,"$23.06
$23.76","49281-0298-10
49281-0298-10","200-2010-33940"
"1443","DTaP [1]","Infanrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes. No Needle","$14.25
$14.25","03/31/2011","GlaxoSmithKline",2010-11-19,2010,"$20.96
$21.44","58160-0810-11
58160-0810-51","200-2010-33940"
"1444","DTaP-IPV [2]","Kinrix®","10 pack – 1 dose vials10 pack – 1 dose T-L syringes","$32.75
$32.75","03/31/2011","GlaxoSmithKline",2010-11-19,2010,"$48.00
$48.00","58160-0812-11
58160-0812-52","200-2010-33945"
"1445","DTaP-Hep B-IPV [4]","Pediarix®","5 pack – 1 dose T-L syringes. No Needle","$49.75","03/31/2011","GlaxoSmithKline",2010-11-19,2010,"$70.72","58160-0811-46","200-2010-33945"
"1446","DTaP-IP-HI [4]","Pentacel®","5 pack – 1 dose vials","$50.70","03/31/2011","Sanofi Pasteur",2010-11-19,2010,"$75.33","49281-0510-05","200-2010-33940"
"1447","e-IPV [5]","IPOL®","10 dose vials","$11.74","03/31/2011","Sanofi Pasteur",2010-11-19,2010,"$24.71","49281-0860-10","200-2010-33940"
"1448","Hepatitis B-Hib [3]","COMVAX®","10 pack – 1 dose vials","$29.50","03/31/2011","Merck",2010-11-19,2010,"$43.56","00006-4898-00","200-2010-34037"
"1449","Hepatitis A Pediatric [5]","VAQTA®","10 pack – 1 dose vials","$13.50","03/31/2011","Merck",2010-11-19,2010,"$30.31","00006-4831-41","200-2010-34037"
"1450","Hepatitis A Pediatric [5]","Havrix®","10 pack – 1 dose vials
10 pack – 1 dose T-L syringes. No Needle","$13.25
$13.25","03/31/2011","GlaxoSmithKline",2010-11-19,2010,"$28.74
$28.74","58160-0825-11
58160-0825-52","200-2010-33945"
"1451","Hepatitis A-Hepatitis B 18 only [3]","Twinrix®","10 pack – 1 dose vials
5 pack – 1 dose
T-L syringes, No Needle","$44.50
$44.50","03/31/2011","GlaxoSmithKline",2010-11-19,2010,"$89.95
$89.85","58160-0815-11
58160-0815-46","200-2010-33945"
"1452","Hepatitis B[5]
Pediatric/Adolescent","ENGERIX B®","10 pack – 1 dose vials
10 pack – 1 dose T-L syringes, No Needle","$10.25
$10.25","03/31/2011","GlaxoSmithKline",2010-11-19,2010,"$21.37
$21.37","58160-0820-11
58160-0820-51","200-2010-33945"
"1453","Hepatitis B [5]
Pediatric/Adolescent","RECOMBIVAX HB®","10 pack – 1 dose vials","$10.25","03/31/2011","Merck",2010-11-19,2010,"$23.20","00006-4981-00","200-2010-34037"
"1454","Hib [5]","PedvaxHIB®","10 pack – 1 dose vials","$11.511","03/31/2011","Merck",2010-11-19,2010,"$22.77","00006-4897-00","200-2010-34037"
"1455","Hib [5]","ActHIB®","5 pack – 1 dose vials","$8.83","03/31/2011","Sanofi Pasteur",2010-11-19,2010,"$23.61","49281-0545-05","200-2010-33940"
"1456","Hib [5]","Hiberix®","10 pack – 1 dose vials","$8.66","03/31/2011","GlaxoSmithKline",2010-11-19,2010,"$22.83","58160-0806-05","200-2010-33945"
"1457","HPV – Quadrivalent Human Papillomavirus Types 6, 11, 16 and 18 Recombinant [5]","Gardasil®","10 pack – 1 dose vials","$108.724","03/31/2011","Merck",2010-11-19,2010,"$130.27","00006-4045-41","200-2010-34037"
"1458","HPV – Bivalent Human Papillomavirus Types
16 and 18 [5]","Cervarix®","10 pack – 1 dose vials
5 pack – 1 dose syringes","$96.08
$96.08","03/31/2011","GlaxoSmithKline",2010-11-19,2010,"$128.75
$128.75","58160-0830-11
58160-0830-46","200-2010-33945"
"1459","Measles, Mumps, Rubella and Varicella (MMR-V) [2]","ProQuad®","10 pack – 1 dose vials","$85.718","03/31/2011","Merck",2010-11-19,2010,"$133.93","00006-4999-00","200-2010-34037"
"1460","Meningococcal Conjugate (Groups A, C, Y and
W-135) [5]","Menactra®","5 pack – 1 dose vials","$79.75","03/31/2011","Sanofi Pasteur",2010-11-19,2010,"$103.41","49281-0589-05","200-2010-33940"
"1461","Meningococcal Conjugate (Groups A, C, Y and
W-135) [5]","Menveo®","5 pack – 1 dose vials","$79.75","03/31/2011","Novartis",2010-11-19,2010,"$103.41","46028-0208-01","200-2010-33942"
"1462","Measles, Mumps and Rubella (MMR) [1]","MMRII®","10 pack – 1 dose vials","$18.637","03/31/2011","Merck",2010-11-19,2010,"$50.16","00006-4681-00","200-2010-34037"
"1463","Pneumococcal
13-valent [5] (Pediatric)","Prevnar 13™","10 pack – 1 dose syringes, No Needle","$91.75","03/31/2011","Wyeth",2010-11-19,2010,"$108.75","00005-1971-02","200-2010-33943"
"1464","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®","10 pack – 1 dose vials","$30.034","03/31/2011","Merck",2010-11-19,2010,"$42.58","00006-4943-00","200-2010-34037"
"1465","Rotavirus, Live, Oral, Pentavalent [5]","RotaTeq®","10 pack – 1 dose 2mL tubes","$59.176","03/31/2011","Merck",2010-11-19,2010,"$69.59","00006-4047-41","200-2010-34037"
"1466","Rotavirus, Live, Oral,
Oral [5]","Rotarix®","10 pack – 1 dose vials","$83.75","03/31/2011","GlaxoSmithKline",2010-11-19,2010,"$102.50","58160-0805-11","200-2010-33945"
"1467","Tetanus & Diphtheria Toxoids [3]","DECAVAC®","10 pack – 1 dose syringes, No Needle
10 pack – 1 dose vials","$16.50
$16.50","03/31/2011","Sanofi Pasteur",2010-11-19,2010,"$19.49
$19.49","49281-0291-10
49281-0291-83","200-2010-33940"
"1468","Tetanus & Diphtheria Toxoids [3]","MassBiologics","10 pack – 1 dose vials","$15.00","03/31/2011","MassBiologics",2010-11-19,2010,"","14362-0111-03","200-2010-33941"
"1469","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","BOOSTRIX®","10 pack – 1 dose vials
10 pack – 1 dose TL syringes, No Needle","$28.54
$28.54","03/31/2011","GlaxoSmithKline",2010-11-19,2010,"$37.55
$37.55","58160-0842-11
58160-0842-51","200-2010-33945"
"1470","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","ADACEL®","10 pack – 1 dose vials
5 pack – 1 dose BD Leur-Lok syringes","$28.54
$28.54","03/31/2011","Sanofi Pasteur",2010-11-19,2010,"$37.43
$37.43","49281-0400-10
49281-0400-15","200-2010-33940"
"1471","Varicella [5]","Varivax®","10 pack – 1 dose vials","$67.081","03/31/2011","Merck",2010-11-19,2010,"$83.77","00006-4827-00","200-2010-34037"
"1472","DTaP [1]","Tripedia®
DAPTACEL®","10 pack – 1 dose vials
10 pack – 1 dose vials","$13.25
$14.75","03/31/2011","Sanofi Pasteur",2010-12-03,2010,"$23.06
$23.76","49281-0298-10
49281-0298-10","200-2010-33940"
"1473","DTaP [1]","Infanrix®","10 pack – 1 dose vials
5 pack – 1 dose T-L syringes. No Needle","$14.25
$14.25","03/31/2011","GlaxoSmithKline",2010-12-03,2010,"$20.96
$21.44","58160-0810-11
58160-0810-52","200-2010-33940"
